technique|||speed|||flexibility|||power|||endurance|||defense
星の白金(スタープラチナ)|||4.0|||5.0|||5.0|||5.0|||5.0|||2.0
魔術師の赤(マジシャンズレッド)|||5.0|||3.0|||4.0|||3.0|||4.0|||3.0
隠者の紫(ハーミットパープル)|||4.0|||4.0|||6.0|||2.0|||3.0|||4.0
法皇の緑(ハイエロファントグリーン)|||5.0|||4.0|||5.0|||2.0|||3.0|||4.0
灰の塔(タワーオブグレー)|||3.0|||6.0|||2.0|||3.0|||2.0|||2.0
銀の戦車(シルバーチャリオッツ)|||4.0|||6.0|||2.0|||3.0|||4.0|||4.0
暗青の月(ダークブルームーン)|||5.0|||5.0|||2.0|||3.0|||3.0|||3.0
力(ストレングス)|||4.0|||4.0|||4.0|||5.0|||4.0|||5.0
悪魔(エボニーデビル)|||3.0|||4.0|||2.0|||2.0|||5.0|||1.0
黄の節制(イエローテンパランス)|||4.0|||3.0|||4.0|||2.0|||2.0|||6.0
皇帝(エンペラー)|||3.0|||4.0|||3.0|||3.0|||4.0|||3.0
吊られた男(ハングドマン)|||4.0|||6.0|||3.0|||2.0|||4.0|||3.0
女帝(エンプレス)|||3.0|||4.0|||4.0|||4.0|||3.0|||3.0
運命の車輪(ホウイール・オブ・フォーチュン)|||4.0|||3.0|||2.0|||5.0|||4.0|||4.0
正義(ジャスティス)|||5.0|||4.0|||5.0|||2.0|||3.0|||5.0
恋人(ラバーズ)|||4.0|||1.0|||5.0|||1.0|||3.0|||2.0
太陽(サン)|||3.0|||3.0|||2.0|||5.0|||1.0|||6.0
死神13(デスサーティーン)|||5.0|||3.0|||3.0|||2.0|||2.0|||2.0
審判(ジャッジメント)|||5.0|||4.0|||2.0|||4.0|||5.0|||3.0
女教皇(ハイプリエステス)|||5.0|||4.0|||4.0|||5.0|||2.0|||5.0
愚者(ザ・フール)|||5.0|||2.0|||5.0|||4.0|||4.0|||5.0
ゲブ神|||4.0|||4.0|||5.0|||3.0|||3.0|||4.0
トト神|||6.0|||3.0|||4.0|||1.0|||1.0|||1.0
クヌム神|||5.0|||3.0|||4.0|||1.0|||1.0|||1.0
アヌビス神|||5.0|||5.0|||3.0|||5.0|||3.0|||4.0
バステト女神|||4.0|||1.0|||5.0|||3.0|||2.0|||2.0
セト神|||5.0|||4.0|||1.0|||2.0|||1.0|||1.0
